assemblydist,borough,communityboard,congressionaldist,coundist,gardenname,juris,multipolygon,openhrsf,openhrsm,openhrssa,openhrssu,openhrsth,openhrstu,openhrsw,parksid,policeprecinct,statesenatedist,status,zipcode
79,X,204,15,16,Grant Avenue Block Association Garden,BLT,"MULTIPOLYGON (((-73.91676788174951 40.830337914835454, -73.91643589062804 40.83022636365105, -73.91640219555356 40.830285690864486, -73.91673321399813 40.830396915463105, -73.91676788174951 40.830337914835454)))",1:00p - 4:00p,,12:00p - 5:00p,12:00p - 5:00p,11:00a-3:00p,11:00a - 3:00p,Varies,XGT025,44,32,Active,"10,456"
78,X,207,15,14,Davidson Avenue Community Garden,BLT,"MULTIPOLYGON (((-73.90373973075245 40.86139016211825, -73.90342039857265 40.861276020140004, -73.90334464239577 40.861400626000986, -73.90366398215774 40.86151476999329, -73.90373973075245 40.86139016211825)))",,,,,,,,XGT024,52,33,Active,"10,468"
81,X,212,16,11,Carpenter Avenue Community Garden,DOT,"MULTIPOLYGON (((-73.85575444637266 40.90119766924892, -73.85568888793534 40.90127674080926, -73.85595800046168 40.901408471079634, -73.85602883304081 40.90132493233895, -73.85575444637266 40.90119766924892)))",,,,,,,,XGT022,47,36,Active,"10,470"
81,X,212,16,11,Bissel Gardens,MTA,"MULTIPOLYGON (((-73.85231108383367 40.8992656434667, -73.8521341565215 40.89948948554638, -73.85220239750065 40.89952286835869, -73.85238422667321 40.899300333644646, -73.85231108383367 40.8992656434667)))",,,,,,,,XGT021,47,36,Active,"10,466"
79,X,206,15,15,Mapes Avenue Garden,BLT,"MULTIPOLYGON (((-73.8847753992436 40.846882983426184, -73.88462394852355 40.84680846663644, -73.88444911715054 40.847013167290946, -73.88489140181923 40.84723116226432, -73.88489221457095 40.84723021485632, -73.88494008729919 40.84717439423673, -73.88464517616916 40.84702926892419, -73.8847753992436 40.846882983426184)))",,,,,,,,XGT020,48,33,Active,"10,460"
78,X,207,13,11,Bainbridge Garden,BLT,"MULTIPOLYGON (((-73.884166478695 40.87097823535984, -73.88393011878081 40.870781800189036, -73.8838391059249 40.870850883284774, -73.88407084490751 40.87104347701325, -73.88408268206712 40.87105331504166, -73.88417672619632 40.870986752566424, -73.884166478695 40.87097823535984)))",,,,,,,,XGT019,52,34,Active,"10,458"
87,X,206,15,15,Perry's Garden (Concerned Tenants of Daly Avenue),BLT,"MULTIPOLYGON (((-73.88122442897397 40.84586401100775, -73.8809375644544 40.845733440926736, -73.88093384167144 40.84573174685845, -73.88083795693028 40.8458582607877, -73.8808019825343 40.84590878270812, -73.88089621546662 40.84595518970523, -73.88112434221226 40.84606277191104, -73.88120506944557 40.84596425107812, -73.8811608476647 40.84594257027996, -73.88121692995104 40.845873277464854, -73.88122442897397 40.84586401100775)))",,,,,,,,XGT018,48,33,Active,"10,460"
84,X,201,15,8,Willis Avenue Community Garden (Bronx Community & Cultural Garden),NYRP,"MULTIPOLYGON (((-73.92036431305584 40.81228040241534, -73.92012235514002 40.81217288939782, -73.92008080441319 40.81215378806005, -73.92003682084281 40.81221329577465, -73.91999259857973 40.81227312478403, -73.91994698490001 40.8123348375516, -73.91990075381844 40.812397385533515, -73.92018751089296 40.812517870185324, -73.92036431305584 40.81228040241534)))",,,,,,,,XGT017,40,29,Active,"10,454"
84,X,201,15,17,NYRP Members Garden (Dalia Group),NYRP,"MULTIPOLYGON (((-73.91709821469088 40.82085038112672, -73.91743982351171 40.82093975826887, -73.91746963257981 40.82087425948153, -73.91712802642483 40.82078488332892, -73.91709821469088 40.82085038112672)))",,,,,,,,XGT016,40,32,Active,"10,455"
84,X,201,15,17,Neighborhood Advisory Committee Community Garden,BLT,"MULTIPOLYGON (((-73.91831706203502 40.81774807615757, -73.91848840117909 40.81779154643418, -73.91855854705496 40.81763340839838, -73.9185925251908 40.81755679919809, -73.91862643903049 40.8174803628369, -73.91854064121843 40.81745859667396, -73.9184550982268 40.81743689276154, -73.91831706203502 40.81774807615757)))",,,,,,,,XGT015,40,32,Active,"10,455"
77,X,204,15,16,Clay Avenue Community Garden,NYRP,"MULTIPOLYGON (((-73.90908684787817 40.83488621689422, -73.9088188272777 40.83479811254456, -73.90879330864496 40.83484355743426, -73.90880950752502 40.83484888226055, -73.90875429402381 40.83494784796177, -73.90889855310661 40.83499526947999, -73.9089039196908 40.83498453081975, -73.90901075795244 40.8350184503363, -73.90901468715471 40.83501146920092, -73.90903173531096 40.8349818788927, -73.90908660662497 40.8348866363345, -73.90908684787817 40.83488621689422)))",,,,,,,,XGT014,44,33,Active,"10,456"
77,X,204,15,16,Bette's Rose Garden,NYRP,"MULTIPOLYGON (((-73.9145710965924 40.82792921063789, -73.91461519498225 40.827840172585724, -73.9145822879221 40.82787358181338, -73.91449947450597 40.82795733406246, -73.91439410595797 40.82806389707031, -73.91436443982316 40.82809454051741, -73.91428629587973 40.82817525960739, -73.91429633800969 40.82818094649575, -73.91428631789209 40.8281913019504, -73.91430302653762 40.82819754939862, -73.91436047652766 40.82821903017159, -73.91440088847713 40.82823414077246, -73.91451760974238 40.828025032349544, -73.9145710965924 40.82792921063789)))",,,,,,,,XGT013,44,32,Active,"10,456"
87,X,206,15,17,Drew Garden,NYSDOT,"MULTIPOLYGON (((-73.87962637637813 40.83868304303293, -73.87925537262068 40.83879058488213, -73.87924211307741 40.8388363170098, -73.87903721455456 40.83886040394296, -73.8789486376568 40.83887154017728, -73.87894860427079 40.838871642798594, -73.87894604527011 40.83894021995456, -73.87894834998527 40.838966430358134, -73.87894203749579 40.8389878663019, -73.87893177347853 40.839025380924674, -73.87892464993328 40.83906051613524, -73.87890891349845 40.83908849508044, -73.87890413495711 40.839128993393444, -73.87886934089624 40.839306727022084, -73.87887393344533 40.83934756205283, -73.87886915150918 40.83938925171282, -73.87884139015897 40.83956017146772, -73.87885313404321 40.83957150121387, -73.87885466475868 40.83959235016183, -73.87884442554892 40.83961616468121, -73.87883109453588 40.83961495932362, -73.87882792354374 40.83963342152541, -73.87874479710467 40.83962392310236, -73.87874140510793 40.839634169861306, -73.87880999291366 40.83964278313447, -73.87864887257047 40.839804045315326, -73.87900798180206 40.839845946160764, -73.87962637637813 40.83868304303293)))",,,,,,,,XGT012,48,32,Active,"10,460"
87,X,210,14,18,Glover Street Community Garden,NYRP,"MULTIPOLYGON (((-73.85246200844792 40.83856049832439, -73.85246455763766 40.83856158037784, -73.85246738664638 40.838562128795814, -73.85247030703077 40.83856210731746, -73.85247312196205 40.83856151839247, -73.85247564283127 40.83856040050083, -73.85247770347547 40.83855882907169, -73.85247916375096 40.8385569092837, -73.85247992615035 40.83855476798185, -73.85247993936616 40.83855255098071, -73.85247568249903 40.83853181794838, -73.85245204753802 40.83841668287581, -73.8524335269332 40.83831952191168, -73.85240451495059 40.838340191666745, -73.85240003793474 40.83834067760769, -73.85229261430706 40.83842929825331, -73.8522819651754 40.83843808334937, -73.85238277261088 40.83850662389839, -73.85246200844792 40.83856049832439)))",,,,,,,,XGT011,45,34,Active,"10,462"
78,X,206,15,15,Belmont Little Farmers,BLT,"MULTIPOLYGON (((-73.88448668756861 40.85700237508636, -73.88475586660452 40.85713400705849, -73.88479993651677 40.85708194954292, -73.88484879935321 40.85702422639999, -73.88457965375771 40.85689261088416, -73.88448668756861 40.85700237508636)))",,,,,,,,XGT010,48,34,Active,"10,458"
86,X,206,15,15,Bathgate Garden,NYRP,"MULTIPOLYGON (((-73.8981104656578 40.844720997196085, -73.8977985149911 40.84462123474619, -73.89765060787661 40.84490560809814, -73.89762904624627 40.84489811036958, -73.89758978783527 40.84496762690625, -73.8975628930966 40.84501517247264, -73.89788221623174 40.84511876557202, -73.8978912796051 40.845103111319695, -73.89798055175002 40.84494892774265, -73.89802595584834 40.84486926794928, -73.89809294592638 40.84475173626057, -73.89810935276658 40.84472294938261, -73.8981104656578 40.844720997196085)))",,,,,,,,XGT009,48,33,Active,"10,457"
84,X,201,15,17,Cauldwell Youth Garden,BLT,"MULTIPOLYGON (((-73.91085309071063 40.814212280499845, -73.91119832926316 40.81428724679483, -73.91123412829813 40.81418700575882, -73.91126036451278 40.81411354445202, -73.91091078926036 40.81404885597022, -73.91085309071063 40.814212280499845)))",,,,,,,,XGT008,40,29,Active,"10,455"
